employee_id,year,regular_pay,retro_pay,other_pay,ot_pay,injured_pay,detail_pay,quinn_pay,total_pay
103384,2017,,8.92,,,,,,8.92
144486,2017,,23.7,,,,,,23.7
144487,2017,,33.17,,,,,,33.17
116181,2011,58.5,0.0,0.0,0.0,0.0,0.0,0.0,58.5
108437,2012,0.0,0.0,580.67,0.0,0.0,0.0,0.0,580.67
131240,2013,732.55,0.0,0.0,0.0,0.0,0.0,0.0,732.55
140668,2015,777.16,0.0,0.0,0.0,0.0,0.0,0.0,777.16
11758,2018,,,800.0,,,,,800.0
103868,2018,,,800.0,,,,,800.0
148253,2021,,,800.0,,,,,800.0
12202,2016,,,800.0,,,,,800.0
11906,2021,,,800.0,,,,,800.0
140328,2015,947.83,0.0,0.0,0.0,0.0,0.0,0.0,947.83
162946,2021,329.19,,800.0,,,,,1129.19
144486,2016,1184.79,,,,,,,1184.79
140312,2015,1630.83,0.0,0.0,0.0,0.0,0.0,0.0,1630.83
120912,2021,849.68,,800.0,,,,,1649.68
144487,2016,1658.71,,,,,,,1658.71
120434,2011,2032.98,0.0,0.0,0.0,0.0,0.0,0.0,2032.98
131259,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
99252,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131272,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131284,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131206,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131218,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131215,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131263,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
164608,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
173500,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
81012,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131225,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131264,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131200,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131223,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
116181,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131198,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
97323,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131283,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
114096,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131257,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
53244,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131216,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131221,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131201,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
116149,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131274,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131199,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131203,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
140351,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
81082,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
108605,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131269,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131219,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131245,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131233,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131202,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131217,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131204,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
98750,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
105590,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131227,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131230,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131239,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131244,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
107125,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131261,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131212,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131275,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131214,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
81372,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131262,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131207,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
131276,2013,2065.38,0.0,0.0,0.0,0.0,0.0,0.0,2065.38
116743,2013,2065.38,2.51,0.0,0.0,0.0,0.0,0.0,2067.89
10044,2021,-337.26,,800.0,,1686.28,,,2149.02
97302,2011,2237.44,0.0,0.0,0.0,0.0,0.0,0.0,2237.44
10744,2014,0.0,2238.08,0.0,0.0,0.0,0.0,0.0,2238.08
124181,2015,2299.89,0.0,0.0,0.0,0.0,0.0,0.0,2299.89
93756,2015,2299.89,0.0,0.0,0.0,0.0,0.0,0.0,2299.89
135926,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135979,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135957,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135974,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135927,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135950,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135928,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135933,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135955,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135923,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135936,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135951,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135959,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135964,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135977,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135986,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135935,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135946,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135947,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135956,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135954,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135962,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135948,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
103632,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135965,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
102943,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135932,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
112108,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
102679,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135952,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135942,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135925,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
135924,2014,2300.56,0.0,0.0,0.0,0.0,0.0,0.0,2300.56
153071,2018,2303.53,,,,,,,2303.53
144840,2016,2337.0,,,,,,,2337.0
140308,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
107421,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140321,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140344,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140336,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140365,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140315,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140302,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140307,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140324,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
140311,2015,2369.58,0.0,0.0,0.0,0.0,0.0,0.0,2369.58
