Inc: IA No,Inc: Incident type,Inc: Received date,OffSnp: Title/rank,Off: First name,Off: Last name,Alg: Allegation,Alg: Finding,Act: Action taken,Act: Days/hours suspended,Act: Action taken date,Inc: Occurred date
IAD2011-0003,Citizen complaint,01/05/2011,"Sergeant Detective
Police Officer","Albert M
John K","Terestre
Rogers","Use of Force
Use of Force","Exonerated
Exonerated",,"0
0",,06/18/2009
IAD2011-0004,Citizen complaint,01/05/2011,Detective,Scott M,Mackie,Conformance to Laws,Unfounded,,,,01/01/2011
IAD2011-0011,Citizen complaint,01/07/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Michael J.
Angel
Mark E.
Ydritzabel","Olszak
Figueroa
Madden Jr.
Oller","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated
Exonerated
Exonerated",,"0
0
0
0",,01/03/2011
IAD2011-0012,Citizen complaint,01/07/2011,Police Officer,Stephen,Morash,Neg.Duty/Unreasonable Judge,Not Sustained,,,,10/12/2008
IAD2011-0013,Citizen complaint,01/07/2011,Police Officer,Andrew B,Blake,Respectful Treatment,Not Sustained,,,,10/27/2010
IAD2011-0014,Citizen complaint,01/10/2011,"Police Officer
Police Officer
Police Officer","Joseph
Joseph
Joseph","Fawkes
Fawkes
Fawkes","Conduct Unbecoming
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded
Not Sustained",,"0
0
0",,10/24/2009
IAD2011-0017,Internal investigation,01/10/2011,"Lieutenant
Lieutenant","John W
John W","Earley
Earley","Conformance to Laws
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,01/09/2011
IAD2011-0020,Citizen complaint,01/13/2011,Police Officer,Gladys,Frias,Neg.Duty/Unreasonable Judge,Exonerated,,,,
IAD2011-0022,Citizen complaint,01/13/2011,Police Officer,,Unknown,Respectful Treatment,Withdrawn,,,,01/11/2011
IAD2011-0023,Citizen complaint,01/14/2011,Detective,Laura A,Delaney,Neg.Duty/Unreasonable Judge,Sustained,Oral Reprimand,,06/21/2012,11/01/2012
IAD2011-0031,Internal investigation,01/18/2011,Police Officer,Robert G.,Warren,Conformance to Laws,Sustained,Retired with Charges Pending,,02/11/2011,
IAD2011-0032,Citizen complaint,01/19/2011,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,12/30/2010
IAD2011-0036,Internal investigation,01/20/2011,"Police Officer
Police Officer","Myles
Myles","Lawton
Lawton","Conformance to Laws
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,
IAD2011-0039,Citizen complaint,01/22/2011,"Police Officer
Police Officer","Richard L
James H","Medina
LaCroix","Self Identification
Respectful Treatment","Exonerated
Not Sustained",,"0
0",,01/22/2011
IAD2011-0040,Citizen complaint,01/23/2011,Police Officer,,Unknown,Respectful Treatment,Filed,,,,01/22/2011
IAD2011-0042,Citizen complaint,01/24/2011,Police Officer,Michael B.,Baker,Conformance to Laws,Unfounded,,,,11/23/2010
IAD2011-0043,Citizen complaint,01/24/2011,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,12/22/2010
IAD2011-0048,Citizen complaint,01/28/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Robert C
Robert C
Mark
Mark
James
James
Rory M
Rory M
Phillip K
Phillip K","Boyle
Boyle
Foley
Foley
Holder
Holder
Coleman
Coleman
Wong
Wong","Use of Force
Respectful Treatment
Use of Force
Respectful Treatment
Use of Force
Respectful Treatment
Use of Force
Respectful Treatment
Use of Force
Respectful Treatment","Unfounded
Unfounded
Unfounded
Unfounded
Unfounded
Unfounded
Unfounded
Unfounded
Unfounded
Unfounded",,"0
0
0
0
0
0
0
0
0
0",,01/28/2011
